id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,
21,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,4.7,20075,"['Politics & Social Sciences', 'Politics & Government']",140186425,140186425,"https://images-na.ssl-images-amazon.com/images/I/41v7MONiyiS._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0140186425,,
22,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,58209,"['Self-Help', 'Happiness']",62457713,62457713,"https://images-na.ssl-images-amazon.com/images/I/51mN3bY0JjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062457713,,
23,They Both Die at the End,Adam Silvera,4.7,18823,"['Teen & Young Adult', 'Literature & Fiction']",62457799,62457799,"https://images-na.ssl-images-amazon.com/images/I/41KVwunVMvL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062457799,,
24,They Both Die at the End,Adam Silvera,4.7,18823,"['Teen & Young Adult', 'Literature & Fiction']",62457802,62457802,"https://images-na.ssl-images-amazon.com/images/I/41yUDMiJ9JL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062457802,,
25,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.6,12984,"['History', 'World']",62464310,62464310,"https://images-na.ssl-images-amazon.com/images/I/41MJoxwmKfL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062464310,,
26,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.6,12984,"['History', 'World']",62464345,62464345,"https://images-na.ssl-images-amazon.com/images/I/41c-iQqDNSL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0062464345,,
27,The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),Kim Krans,4.8,19404,"['Religion & Spirituality', 'New Age & Spirituality']",62466593,62466593,"https://images-na.ssl-images-amazon.com/images/I/41dHJa3a6OL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062466593,,
28,The Bad Seed (The Food Group),Jory JohnPete Oswald,4.8,11122,"[""Children's Books"", 'Growing Up & Facts of Life']",006246776X,006246776X,"https://images-na.ssl-images-amazon.com/images/I/41o4ElxdqTL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/006246776X,,
29,The Rose Code: A Novel,Kate Quinn,4.7,17211,"['Literature & Fiction', 'Genre Fiction']",62943472,62943472,"https://images-na.ssl-images-amazon.com/images/I/51tXM4TLUxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062943472,,
30,Divergent,Veronica Roth,4.6,29549,"['Teen & Young Adult', 'Literature & Fiction']",62024027,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/51dGX+odxcL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0062024027,,
