id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,,,,,,,,,,,,,,,,,,,,,,
17,Just as I Am: A Memoir,Cicely Tyson,4.9 out of 5 stars,17201,"[""Books"",""Biographies & Memoirs"",""Arts & Literature""]",0062931067,0062931067,"https://images-na.ssl-images-amazon.com/images/I/41SrQ9us8GL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062931067,,,,,,,,,,,,,,,,,,,,,,,
18,The One and Only Ivan,"by Katherine Applegate (Author), Patricia Castelao (Illustrator)",4.8 out of 5 stars,17657,"[""Books"",""Children's Books"",""Arts, Music & Photography""]",0061992275,0061992275,"https://images-na.ssl-images-amazon.com/images/I/51oG306ACnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0061992275,,,,,,,,,,,,,,,,,,,,,,,
19,Chronicles of Narnia Box Set,C. S. Lewis,4.8 out of 5 stars,11222,"[""Books"",""Children's Books"",""Literature & Fiction""]",0061992887,0061992887,"https://images-na.ssl-images-amazon.com/images/I/51HWQhWuSnL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0061992887,,,,,,,,,,,,,,,,,,,,,,,
20,Of Mice and Men,John Steinbeck,4.7 out of 5 stars,20075,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",0140177396,0140177396,"https://images-na.ssl-images-amazon.com/images/I/41OmKxmMLIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0140177396,,,,,,,,,,,,,,,,,,,,,,,
21,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,4.7 out of 5 stars,20075,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",0140186425,0140186425,"https://images-na.ssl-images-amazon.com/images/I/41v7MONiyiS._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0140186425,,,,,,,,,,,,,,,,,,,,,,,
22,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,58209,"[""Books"",""Self-Help"",""Happiness""]",0062457713,0062457713,"https://images-na.ssl-images-amazon.com/images/I/51mN3bY0JjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062457713,,,,,,,,,,,,,,,,,,,,,,,
23,They Both Die at the End,Adam Silvera,4.7 out of 5 stars,18823,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062457799,0062457799,"https://images-na.ssl-images-amazon.com/images/I/41KVwunVMvL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062457799,,,,,,,,,,,,,,,,,,,,,,,
24,They Both Die at the End,Adam Silvera,4.7 out of 5 stars,18823,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062457802,0062457802,"https://images-na.ssl-images-amazon.com/images/I/41yUDMiJ9JL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062457802,,,,,,,,,,,,,,,,,,,,,,,
25,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.6 out of 5 stars,12984,"[""Books"",""History"",""World""]",0062464310,0062464310,"https://images-na.ssl-images-amazon.com/images/I/41MJoxwmKfL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062464310,,,,,,,,,,,,,,,,,,,,,,,
26,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.6 out of 5 stars,12984,"[""Books"",""History"",""World""]",0062464345,0062464345,"https://images-na.ssl-images-amazon.com/images/I/41c-iQqDNSL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0062464345,,,,,,,,,,,,,,,,,,,,,,,
27,The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),Kim Krans,4.8 out of 5 stars,19404,"[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]",0062466593,0062466593,"https://images-na.ssl-images-amazon.com/images/I/41dHJa3a6OL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062466593,,,,,,,,,,,,,,,,,,,,,,,
28,The Bad Seed (The Food Group),Jory JohnPete Oswald,4.8 out of 5 stars,11122,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",006246776X,006246776X,"https://images-na.ssl-images-amazon.com/images/I/41o4ElxdqTL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/006246776X,,,,,,,,,,,,,,,,,,,,,,,
29,The Rose Code: A Novel,Kate Quinn,4.7 out of 5 stars,17211,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062943472,0062943472,"https://images-na.ssl-images-amazon.com/images/I/51tXM4TLUxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062943472,,,,,,,,,,,,,,,,,,,,,,,
30,Divergent,Veronica Roth,4.6 out of 5 stars,29549,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062024027,9.78006E+12,"https://images-na.ssl-images-amazon.com/images/I/51dGX+odxcL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0062024027,,,,,,,,,,,,,,,,,,,,,,,
31,Divergent / Insurgent,Veronica Roth,4.6 out of 5 stars,19489,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062024043,9.78006E+12,"https://images-na.ssl-images-amazon.com/images/I/51h4JPR8ZIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062024043,,,,,,,,,,,,,,,,,,,,,,,
32,"Insurgent (Divergent Series, 2)",Veronica Roth,4.6 out of 5 stars,19489,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062024051,0062024051,"https://images-na.ssl-images-amazon.com/images/I/51xAOiKz4iL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062024051,,,,,,,,,,,,,,,,,,,,,,,
33,Allegiant,Veronica Roth,3.9 out of 5 stars,22362,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",006202406X,006202406X,"https://images-na.ssl-images-amazon.com/images/I/51WKe9aGJIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/006202406X,,,,,,,,,,,,,,,,,,,,,,,
34,"Allegiant (Divergent Series, 3)",Veronica Roth,3.9 out of 5 stars,22362,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062024078,0062024078,"https://images-na.ssl-images-amazon.com/images/I/51uKkJzieBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062024078,,,,,,,,,,,,,,,,,,,,,,,
35,The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,33382,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",0140280197,0140280197,"https://images-na.ssl-images-amazon.com/images/I/41KY-NORo9L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0140280197,,,,,,,,,,,,,,,,,,,,,,,
36,The Hate U Give,Angie Thomas,4.8 out of 5 stars,21341,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0062498533,0062498533,"https://images-na.ssl-images-amazon.com/images/I/417uKEjLwZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062498533,,,,,,,,,,,,,,,,,,,,,,,
37,Brave New World,Aldous Huxley,4.6 out of 5 stars,18262,"[""Books"",""Literature & Fiction"",""United States""]",0060850523,0060850523,"https://images-na.ssl-images-amazon.com/images/I/41-n-3hZMeL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0060850523,,,,,,,,,,,,,,,,,,,,,,,
38,The Dutch House: A Novel,Ann Patchett,4.4 out of 5 stars,26810,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062963686,0062963686,"https://images-na.ssl-images-amazon.com/images/I/515Jg9lLYaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062963686,,,,,,,,,,,,,,,,,,,,,,,
39,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil GaimanTerry Pratchett,4.7 out of 5 stars,14729,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0060853964,0060853964,"https://images-na.ssl-images-amazon.com/images/I/51p8eaJSMhL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060853964,,,,,,,,,,,,,,,,,,,,,,,
40,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Cover may vary)",Neil GaimanTerry Pratchett,4.7 out of 5 stars,14729,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0060853980,0060853980,"https://images-na.ssl-images-amazon.com/images/I/51FuLRqRQwL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060853980,,,,,,,,,,,,,,,,,,,,,,,
41,The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),Steve Doocy,4.6 out of 5 stars,15043,"[""Books"",""Cookbooks, Food & Wine"",""Cooking Education & Reference""]",0062968394,0062968394,"https://images-na.ssl-images-amazon.com/images/I/51oNirCoKnL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062968394,,,,,,,,,,,,,,,,,,,,,,,
42,"The Selection (The Selection, 1)",Kiera Cass,4.6 out of 5 stars,11072,"[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]",0062059947,0062059947,"https://images-na.ssl-images-amazon.com/images/I/51S1EKvtBGL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062059947,,,,,,,,,,,,,,,,,,,,,,,
43,The Song of Achilles,Madeline Miller,4.7 out of 5 stars,31125,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062060619,0062060619,"https://images-na.ssl-images-amazon.com/images/I/51IvdNGl8rL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062060619,,,,,,,,,,,,,,,,,,,,,,,
44,The Song of Achilles: A Novel,Madeline Miller,4.7 out of 5 stars,31125,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062060627,0062060627,"https://images-na.ssl-images-amazon.com/images/I/514aE49swxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062060627,,,,,,,,,,,,,,,,,,,,,,,
